t_us,x_gal,y_gal,z_gal
474523058,-6.33510,-18.03639,983.13235
474533058,-6.40963,-18.03639,982.83423
474543058,-6.33510,-17.81280,983.05782
474553058,-6.48416,-17.88733,983.13235
474563058,-6.55869,-18.18545,982.75970
474573058,-6.55869,-18.11092,983.35594
474583058,-6.03697,-17.96186,982.83423
474593058,-6.55869,-18.03639,982.75970
474603058,-6.70775,-18.25998,983.13235
474613058,-6.33510,-18.18545,983.13235
474623058,-6.33510,-18.03639,983.05782
474633058,-6.33510,-18.03639,983.13235
474643058,-6.33510,-18.48357,982.83423
474653058,-6.63322,-17.66374,982.90876
474663058,-6.48416,-18.33451,982.61064
474673058,-6.48416,-18.18545,982.83423
474683058,-6.18603,-17.96186,982.53611
474693058,-6.18603,-18.25998,983.05782
474703058,-6.40963,-18.18545,982.98329
474713058,-6.26057,-18.03639,982.83423
474723058,-6.40963,-17.96186,982.98329
474733058,-6.40963,-18.03639,983.43048
474743058,-6.55869,-17.73827,982.61064
474753058,-6.63322,-17.96186,982.75970
474763058,-6.40963,-18.03639,983.05782
474773058,-6.55869,-17.96186,983.20688
474783058,-6.11150,-17.96186,982.53611
474793058,-6.33510,-18.03639,983.35594
474803058,-6.40963,-18.18545,983.20688
474813058,-6.33510,-18.03639,982.98329
474823058,-6.40963,-18.18545,983.28141
474833058,-6.33510,-18.03639,983.13235
474843058,-6.63322,-17.88733,982.98329
474853058,-6.33510,-17.96186,983.13235
474863058,-6.40963,-18.11092,982.90876
474873058,-6.48416,-18.25998,982.98329
474883058,-6.33510,-18.03639,982.98329
474893058,-6.26057,-18.33451,983.05782
474903058,-6.48416,-18.18545,983.05782
474913058,-6.78228,-18.11092,982.90876
474923058,-6.11150,-17.88733,982.83423
474933058,-6.40963,-18.03639,983.13235
474943058,-6.18603,-17.96186,982.53611
474953058,-6.26057,-18.03639,982.98329
474963058,-6.18603,-18.18545,982.75970
474973058,-6.26057,-18.33451,983.28141
474983058,-6.33510,-18.18545,982.61064
474993058,-6.11150,-18.11092,982.83423
475003058,-6.40963,-18.03639,982.53611
475013058,-6.33510,-17.81280,982.68517
475023058,-6.48416,-18.03639,983.13235
475033058,-6.48416,-18.03639,982.90876
475043058,-6.48416,-17.96186,983.05782
475053058,-6.55869,-18.33451,983.13235
475063058,-6.63322,-18.03639,983.05782
475073058,-6.40963,-17.96186,982.53611
475083058,-6.48416,-17.88733,982.75970
475093058,-6.40963,-18.18545,983.13235
475103058,-6.18603,-18.03639,982.98329
475113058,-6.40963,-18.11092,982.61064
475123058,-6.63322,-18.18545,983.20688
475133058,-6.48416,-17.81280,982.98329
475143058,-6.40963,-18.03639,982.83423
475153058,-6.33510,-17.81280,982.75970
475163058,-6.55869,-17.81280,982.75970
475173058,-6.33510,-18.25998,982.75970
475183058,-6.26057,-17.81280,982.61064
475193058,-6.18603,-18.25998,983.13235
475203058,-6.63322,-18.33451,982.90876
475213058,-6.26057,-18.03639,983.13235
475223058,-6.26057,-17.81280,982.68517
475233058,-6.48416,-17.96186,982.90876
475243058,-6.48416,-18.18545,983.13235
475253058,-6.55869,-18.25998,982.68517
475263058,-6.48416,-17.81280,982.46158
475273058,-6.70775,-17.88733,982.75970
475283058,-6.48416,-18.11092,982.98329
475293058,-6.40963,-18.03639,982.98329
475303058,-6.70775,-17.96186,982.53611
475313058,-6.33510,-17.81280,982.83423
475323058,-6.40963,-18.11092,982.98329
475333058,-6.78228,-18.03639,982.75970
475343058,-6.18603,-18.11092,982.75970
475353058,-6.33510,-18.18545,983.20688
475363058,-6.33510,-17.88733,982.83423
