t_us,x_gal,y_gal,z_gal
11263058,-6.33510,-18.18545,982.98329
11273058,-6.40963,-18.11092,982.83423
11283058,-6.40963,-18.03639,982.83423
11293058,-6.33510,-17.88733,983.05782
11303058,-6.55869,-17.88733,982.61064
11313058,-6.63322,-18.18545,982.75970
11323058,-6.63322,-17.81280,983.05782
11333058,-6.48416,-17.96186,983.05782
11343058,-6.48416,-18.11092,982.98329
11353058,-6.70775,-18.11092,982.75970
11363058,-6.55869,-17.96186,982.46158
11373058,-6.55869,-18.18545,982.75970
11383058,-6.55869,-18.11092,982.90876
11393058,-6.33510,-17.96186,983.13235
11403058,-6.55869,-18.11092,982.61064
11413058,-6.55869,-18.18545,982.90876
11423058,-6.70775,-18.25998,982.83423
11433058,-6.70775,-18.03639,982.68517
11443058,-6.33510,-18.03639,982.75970
11453058,-6.48416,-17.96186,982.90876
11463058,-6.33510,-18.11092,982.83423
11473058,-6.40963,-18.18545,983.20688
11483058,-6.63322,-18.11092,983.05782
11493058,-6.18603,-18.33451,982.90876
11503058,-6.26057,-18.18545,982.90876
11513058,-6.78228,-18.03639,983.28141
11523058,-6.55869,-18.11092,983.20688
11533058,-6.40963,-18.03639,983.35594
11543058,-6.55869,-17.96186,982.31252
11553058,-6.33510,-17.88733,982.90876
11563058,-6.33510,-18.33451,983.20688
11573058,-6.63322,-18.18545,982.75970
11583058,-6.33510,-17.96186,982.90876
11593058,-6.48416,-17.96186,982.61064
11603058,-6.33510,-18.03639,983.05782
11613058,-6.48416,-18.03639,982.98329
11623058,-6.78228,-18.18545,982.38705
11633058,-6.55869,-18.18545,982.98329
11643058,-6.40963,-18.11092,982.98329
11653058,-6.55869,-18.11092,983.05782
11663058,-6.55869,-18.18545,982.98329
11673058,-6.48416,-18.18545,983.05782
11683058,-6.55869,-18.11092,982.83423
11693058,-6.63322,-17.81280,982.75970
11703058,-6.18603,-18.25998,982.98329
11713058,-6.40963,-17.73827,982.83423
11723058,-6.48416,-17.96186,982.98329
11733058,-6.55869,-18.33451,982.83423
11743058,-6.03697,-18.11092,982.90876
11753058,-6.11150,-18.25998,983.05782
11763058,-6.55869,-18.18545,982.98329
11773058,-6.48416,-18.11092,982.98329
11783058,-6.55869,-18.55810,982.75970
11793058,-6.70775,-17.96186,982.90876
11803058,-6.55869,-17.51468,982.53611
11813058,-6.26057,-18.33451,982.68517
11823058,-6.63322,-18.48357,982.83423
11833058,-6.40963,-18.11092,982.68517
11843058,-6.70775,-18.03639,983.05782
11853058,-6.48416,-18.11092,982.75970
11863058,-6.26057,-18.33451,982.90876
11873058,-6.33510,-18.18545,982.83423
11883058,-6.48416,-17.96186,982.98329
11893058,-6.63322,-18.11092,982.98329
11903058,-6.33510,-17.96186,983.05782
11913058,-6.55869,-17.96186,983.13235
11923058,-6.48416,-17.96186,983.05782
11933058,-6.48416,-18.03639,982.61064
11943058,-6.55869,-17.96186,982.83423
11953058,-6.48416,-18.40904,982.61064
11963058,-6.48416,-18.18545,983.20688
11973058,-6.70775,-17.66374,982.68517
11983058,-6.48416,-18.03639,982.75970
11993058,-6.85681,-18.03639,982.90876
12003058,-6.63322,-18.48357,983.05782
12013058,-6.63322,-17.81280,982.75970
12023058,-6.70775,-17.96186,982.98329
12033058,-6.63322,-17.88733,983.05782
12043058,-6.48416,-17.96186,982.90876
12053058,-6.40963,-18.03639,982.98329
12063058,-6.63322,-18.03639,982.90876
12073058,-6.40963,-18.03639,982.68517
12083058,-6.40963,-17.88733,982.98329
