t_us,x_gal,y_gal,z_gal
393583058,-5.73885,-18.18545,982.23799
393593058,-5.66432,-17.73827,982.38705
393603058,-5.88791,-17.96186,982.61064
393613058,-6.03697,-18.33451,982.83423
393623058,-6.55869,-18.25998,982.83423
393633058,-6.70775,-17.96186,983.28141
393643058,-6.93134,-18.48357,982.98329
393653058,-6.55869,-18.25998,983.28141
393663058,-6.40963,-18.18545,982.90876
393673058,-6.48416,-17.96186,982.75970
393683058,-6.18603,-17.88733,982.46158
393693058,-6.03697,-17.88733,982.83423
393703058,-6.48416,-17.88733,982.61064
393713058,-6.70775,-17.81280,983.13235
393723058,-6.63322,-18.11092,983.13235
393733058,-6.78228,-18.48357,983.05782
393743058,-6.78228,-18.11092,983.35594
393753058,-6.40963,-18.03639,983.13235
393763058,-6.18603,-18.48357,982.61064
393773058,-5.88791,-18.03639,982.61064
393783058,-5.73885,-18.18545,982.31252
393793058,-5.96244,-18.18545,982.08893
393803058,-6.11150,-18.40904,982.16346
393813058,-6.48416,-18.33451,982.75970
393823058,-6.70775,-18.55810,983.20688
393833058,-6.78228,-18.55810,983.43048
393843058,-7.00587,-18.25998,982.90876
393853058,-6.78228,-17.81280,983.28141
393863058,-6.70775,-17.58921,982.75970
393873058,-6.48416,-17.58921,982.90876
393883058,-6.40963,-17.66374,982.68517
393893058,-6.63322,-17.66374,983.28141
393903058,-6.85681,-18.11092,983.35594
393913058,-6.70775,-17.88733,983.43048
393923058,-6.70775,-17.81280,983.28141
393933058,-6.70775,-18.25998,982.83423
393943058,-6.55869,-18.18545,982.83423
393953058,-6.11150,-17.81280,982.68517
393963058,-6.03697,-17.81280,982.38705
393973058,-6.26057,-18.11092,982.98329
393983058,-6.26057,-18.40904,982.61064
393993058,-6.03697,-18.63264,982.98329
394003058,-6.33510,-18.33451,983.05782
394013058,-6.70775,-18.48357,983.20688
394023058,-6.48416,-18.33451,982.83423
394033058,-6.11150,-18.03639,982.53611
394043058,-5.96244,-17.81280,982.68517
394053058,-6.11150,-17.81280,982.83423
394063058,-6.03697,-17.81280,982.83423
394073058,-6.48416,-17.73827,982.68517
394083058,-6.93134,-17.88733,983.35594
394093058,-7.08040,-17.96186,983.20688
394103058,-6.78228,-18.48357,983.20688
394113058,-6.85681,-18.18545,983.13235
394123058,-6.55869,-17.88733,983.05782
394133058,-6.18603,-18.25998,982.83423
394143058,-5.88791,-17.96186,982.75970
394153058,-5.96244,-18.18545,982.46158
394163058,-6.11150,-18.18545,982.83423
394173058,-6.40963,-18.48357,982.46158
394183058,-6.40963,-18.11092,982.83423
394193058,-6.40963,-18.33451,983.28141
394203058,-6.48416,-18.55810,983.13235
394213058,-6.40963,-17.96186,982.75970
394223058,-6.55869,-17.96186,982.61064
394233058,-6.33510,-18.03639,982.83423
394243058,-6.18603,-17.88733,982.75970
394253058,-6.33510,-18.03639,983.05782
394263058,-6.40963,-17.96186,983.05782
394273058,-7.00587,-18.03639,983.28141
394283058,-7.22946,-18.03639,983.28141
394293058,-6.85681,-18.11092,982.98329
394303058,-6.55869,-17.88733,983.13235
394313058,-6.40963,-18.18545,982.98329
394323058,-6.26057,-17.96186,982.68517
394333058,-6.18603,-17.96186,982.46158
394343058,-6.33510,-17.96186,982.75970
394353058,-5.96244,-18.25998,982.75970
394363058,-6.18603,-18.25998,982.98329
394373058,-6.33510,-18.25998,982.83423
394383058,-6.55869,-18.18545,983.20688
394393058,-6.40963,-18.63264,982.83423
394403058,-6.26057,-18.18545,982.83423
394413058,-6.48416,-18.25998,982.98329
394423058,-6.18603,-17.81280,982.68517
394433058,-6.48416,-17.96186,982.68517
394443058,-6.55869,-18.03639,982.61064
394453058,-6.40963,-18.18545,982.98329
